epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,71.0842,1.75996,0.33553,0.92105,1.67707,0.000324561,0.000324561,0.000324561
2,159.542,1.61083,0.18092,0.96711,4.00827,0.000644868,0.000644868,0.000644868
3,236.601,1.56434,0.37171,0.95066,1.55943,0.000951975,0.000951975,0.000951975
4,314.772,1.5034,0.34868,0.96053,1.67376,0.0009406,0.0009406,0.0009406
5,393.4,1.52059,0.375,0.98355,1.58836,0.0009208,0.0009208,0.0009208
6,578.775,1.40935,0.56908,0.98026,1.22263,0.000901,0.000901,0.000901
7,657.391,1.34199,0.47039,0.98026,1.42554,0.0008812,0.0008812,0.0008812
8,729.095,1.28607,0.5,0.99671,1.39411,0.0008614,0.0008614,0.0008614
9,805.837,1.24731,0.54934,0.98355,1.14063,0.0008416,0.0008416,0.0008416
10,877.809,1.17919,0.64145,0.98684,1.01064,0.0008218,0.0008218,0.0008218
11,943.291,1.13605,0.59539,0.99671,1.04556,0.000802,0.000802,0.000802
12,1016.54,1.13734,0.37171,0.95724,1.65459,0.0007822,0.0007822,0.0007822
13,1088,1.12677,0.52961,0.98355,1.21761,0.0007624,0.0007624,0.0007624
14,1165.45,1.14714,0.58224,0.98684,1.25164,0.0007426,0.0007426,0.0007426
15,1237.12,1.12156,0.44408,0.98684,1.48872,0.0007228,0.0007228,0.0007228
16,1305.41,1.08628,0.56579,0.98684,1.12458,0.000703,0.000703,0.000703
17,1376.76,1.02213,0.64474,0.99342,0.8877,0.0006832,0.0006832,0.0006832
18,1447.03,0.9764,0.67434,0.98684,0.92571,0.0006634,0.0006634,0.0006634
19,1521.77,1.00028,0.69737,0.99013,0.84723,0.0006436,0.0006436,0.0006436
20,1592.39,0.98958,0.67434,0.99013,0.84435,0.0006238,0.0006238,0.0006238
21,1664.82,0.95448,0.60855,0.97697,1.1171,0.000604,0.000604,0.000604
22,1736.7,0.93652,0.66118,0.98684,0.929,0.0005842,0.0005842,0.0005842
23,1806.26,0.93029,0.68421,0.98026,0.8527,0.0005644,0.0005644,0.0005644
24,1876.52,0.94611,0.64803,0.98684,0.96184,0.0005446,0.0005446,0.0005446
25,1944.78,0.90521,0.5625,0.98355,1.13662,0.0005248,0.0005248,0.0005248
26,2016.7,0.90499,0.73684,0.99342,0.73522,0.000505,0.000505,0.000505
27,2086.1,0.90752,0.72039,0.99671,0.67091,0.0004852,0.0004852,0.0004852
28,2146.54,0.87799,0.69737,0.99671,0.73324,0.0004654,0.0004654,0.0004654
29,2219.69,0.8559,0.69737,0.99671,0.71664,0.0004456,0.0004456,0.0004456
30,2290.17,0.82177,0.71053,1,0.64135,0.0004258,0.0004258,0.0004258
31,2358.71,0.82007,0.75329,0.99671,0.63352,0.000406,0.000406,0.000406
32,2433.03,0.78825,0.78289,0.99342,0.61073,0.0003862,0.0003862,0.0003862
33,2506.16,0.79169,0.72697,0.99342,0.71631,0.0003664,0.0003664,0.0003664
34,2575.1,0.82716,0.77632,0.99671,0.56699,0.0003466,0.0003466,0.0003466
35,2646.76,0.74639,0.73684,0.99671,0.6992,0.0003268,0.0003268,0.0003268
36,2717.03,0.78761,0.77303,1,0.59286,0.000307,0.000307,0.000307
37,2785.18,0.77784,0.80921,1,0.53612,0.0002872,0.0002872,0.0002872
38,2856.56,0.74259,0.80592,1,0.54196,0.0002674,0.0002674,0.0002674
39,2926.08,0.72924,0.81908,1,0.49533,0.0002476,0.0002476,0.0002476
40,2983.49,0.7448,0.79605,1,0.5327,0.0002278,0.0002278,0.0002278
41,3039.76,0.72961,0.78618,1,0.52483,0.000208,0.000208,0.000208
42,3091.46,0.70317,0.77632,1,0.55779,0.0001882,0.0001882,0.0001882
43,3148.6,0.74452,0.80592,0.99671,0.4924,0.0001684,0.0001684,0.0001684
44,3199.77,0.65433,0.82566,1,0.47273,0.0001486,0.0001486,0.0001486
45,3249.14,0.65798,0.83882,1,0.46599,0.0001288,0.0001288,0.0001288
46,3301.83,0.67518,0.81908,1,0.46623,0.000109,0.000109,0.000109
47,3349.67,0.66061,0.83224,1,0.46167,8.92e-05,8.92e-05,8.92e-05
48,3401.83,0.63939,0.8125,1,0.43896,6.94e-05,6.94e-05,6.94e-05
49,3449.22,0.61659,0.82895,1,0.43164,4.96e-05,4.96e-05,4.96e-05
50,3506.21,0.6272,0.83224,1,0.42321,2.98e-05,2.98e-05,2.98e-05
